codigo_curso,nombre_curso,catedratico,auxiliar
250,MECANICA DE FLUIDOS,LUIS EDUARDO PORTILLO ESPAÑA,JOSÉ DANIEL PALACIOS GUZMÁN
311,ANALISIS ESTRUCTURAL,OSWALDO JOSE OROZCO AREAS,xxx
252,HIDRAULICA,CARLOS SALVADOR GORDILLO GARCIA,JOSÉ ROBERTO SIERRA GARRIDO
322,DISE\O ESTRUCTURAL 1,OSWALDO JOSE OROZCO AREAS,xxx
324,DISE\O ESTRUCTURAL 2,LUIS ESTUARDO SARAVIA RAMIREZ,xxx
458,MECANICA DE SUELOS 1,OMAR ENRIQUE MEDRANO MENDEZ,xxx
1035,DIPLOMADO EN MATEMATICAS DE INGENIERIA,JORGE MARCELO IXQUIAC CABRERA,xxx
300,RESISTENCIA DE MATERIALES 1,DARIO FRANCISCO LUCAS MAZARIEGOS,JUAN MANUEL CHAVAJAY SOSA
302,RESISTENCIA DE MATERIALES 2,OMAR ENRIQUE MEDRANO MENDEZ,xxx
453,MATERIALES DE CONSTRUCCION 1,DILMA YANET MEJICANOS JOL,NERY NEFTALY QUIROA ARRIAZA
80,TOPOGRAFIA 1,MARIO ESTUARDO ARRIOLA AVILA,xxx
82,TOPOGRAFIA 2,MARIO ESTUARDO ARRIOLA AVILA,xxx
84,TOPOGRAFIA 3,NICOLAS DE JESUS GUZMAN SAENZ,xxx
550,VIAS TERRESTRES 1,CARLOS ENRIQUE PINTO ALONZO,xxx
455,MATERIALES DE CONSTRUCCION 2,BRANDON EDEVAÍR ESTRADA TARACENA,NERY NEFTALY QUIROA ARRIAZA
236,SISTEMAS DE CONTROL 1,MIGUEL VENTURA PEREZ,xxx
246,ELECTRONICA 3,HILDA FABIOLA ESPAÑA GIRÓN,xxx
522,PROCESOS DE MANUFACTURA 2,VICTOR MANUEL RUIZ HERNANDEZ,xxx
200,INGENIERIA ELECTRICA 1,ANA MARÍA NAVARRO  OROZCO,xxx
202,INGENIERIA ELECTRICA 2,EDGAR YANUARIO LAJ HUN,xxx
204,CIRCUITOS ELECTRICOS 1,JULIO ROLANDO BARRIOS ARCHILA,xxx
206,CIRCUITOS ELECTRICOS 2,JORGE MARIO SITAVI COS,xxx
208,INSTALACIONES ELECTRICAS,CARLOS ALBERTO NAVARRO FUENTES,xxx
210,TEORIA ELECTROMAGNETICA 1,MATILDE LUCRECIA MARTINEZ AGUIRRE,xxx
230,INSTRUMENTACION ELECTRICA,OTTO FERNANDO ANDRINO GONZALEZ,xxx
232,ELECTRONICA  1,CARLOS EDUARDO GUZMAN SALAZAR,xxx
235,ROBOTICA,WENDY NORA MIRANDA LOPEZ,xxx
240,ELECTRONICA 2,HUGO LEONEL TIUL VALENZUELA,xxx
242,COMUNICACIONES 1,WENDY NORA MIRANDA LOPEZ,xxx
243,COMUNICACIONES 4,GUILLERMO ANTONIO PUENTE ROMERO,xxx
244,COMUNICACIONES 2,WENDY NORA MIRANDA LOPEZ,xxx
245,COMUNICACIONES 3,CHRISTIAN ANTONIO ORELLANA LÓPEZ,xxx
248,ELECTRONICA 5,MIGUEL VENTURA PEREZ,xxx
249,ELECTRONICA 6,LIGIA DEYANIRA AGUILAR ESTRADA,xxx
258,MAQUINAS HIDRAULICAS,HERBERT SAMUEL FIGUEROA AVENDAÑO,xxx
354,QUIMICA 3,MERCEDES ESTHER ROQUEL CHAVEZ,JOSE ALBERTO MEDINA CALGUA
358,QUIMICA ORGANICA 1,ERWIN MANUEL ORTIZ CASTILLO,xxx
360,QUIMICA ORGANICA 2,MERCEDES ESTHER ROQUEL CHAVEZ,PABLO ANDRÉS VARGAS DONADO
362,ANALISIS CUALITATIVO,MERCEDES ESTHER ROQUEL CHAVEZ,"1) JOSE JAVIER DE PAZ OLAVARRUETH 
                                                            2) MARJORIE JULIETA MARTÍNEZ BARRIOS"
364,ANALISIS CUANTITATIVO,CINTHYA PATRICIA ORTIZ QUIROA,"1) GINGER MARIE GAITAN FONG 
                                                            2) MARJORIE JULIETA MARTÍNEZ BARRIOS"
366,ANALISIS INSTRUMENTAL,INGRID LORENA BENITEZ PACHECO,KIMBERLY NATALIE MORALES CONTRERAS
440,MICROBIOLOGIA,PABLO ENRIQUE MORALES PANIAGUA,xxx
454,METALURGIA Y METALOGRAFIA,HUGO LEONEL RAMIREZ ORTIZ,xxx
